City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,28000,Semi furnished,1214 sq.ft,"24x7 Security, Children Play Area, Close to Jain Temple, Close to Mall",Homezy Space,N/A,N/A
Ahmedabad,Jagatpur,Flat,4 BHK,50000,Semi furnished,4105 sq.ft,"School Proximity, Swimming Pool, 24x7 Security, Close to Hospital",Preetam Yadav,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,28000,Semi furnished,1280 sq.ft,"Children Play Area, 24x7 Security, Gymnasium, Close to Grocery Stores",QUALITY LIVING PROPERTY SOLUTIONS,N/A,N/A
Ahmedabad,Bodakdev,Flat,3 BHK,49000,Fully furnished,1965 sq.ft,"Lift, Parking, Power Backup, Intercom",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,42500,Semi furnished,2200 sq.ft,"Pool, Gym, Lift, Parking",J P Tripathi,N/A,N/A
Ahmedabad,Makarba,Flat,3 BHK,37000,Fully furnished,1663 sq.ft,"Gated Community, Good Cross Ventilation, Landscaped Garden, Lift",Jain Dishant Laxmilal Nahar,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,59990,Fully furnished,2335 sq.ft,"24x7 Security, Gymnasium, Children Play Area, Landscaped Garden",HOME ADDRESS REALTY,N/A,N/A
Ahmedabad,Motera,Flat,3 BHK,43000,Semi furnished,1800 sq.ft,"24x7 Security, Metro Station Proximity, Gymnasium, Fire Fighting Systems",Dravya Realty,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,55000,Fully furnished,1755 sq.ft,"Power Backup, Garden, Sports Facility, Kids Area
R",Rajit,N/A,N/A
Ahmedabad,Chandkheda,Independent Builder Floor,2 BHK,25000,Fully furnished,1206 sq.ft,"Gym, Lift, Parking, Intercom",Venky Acharya,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,27000,Fully furnished,750 sq.ft,"Pool, Gym, Lift, Parking",Universal Estate,N/A,N/A
Ahmedabad,Chharodi,Flat,2 BHK,25000,Fully furnished,1250 sq.ft,"24x7 Security, Lift, Gated Community",R G Property,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,34500,Fully furnished,1209 sq.ft,"Children Play Area, 24x7 Security, Swimming Pool, Gated Community",City Address Realty,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,15000,Un-furnished,1200 sq.ft,"Amphitheatre, Motion Sensor, Landscaped Garden, Fire Fighting Systems",Nivaas Properties,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,31000,Semi furnished,1500 sq.ft,"Pool, Gym, Lift, Pool, Parking",Neeraj Bhojwani,N/A,N/A
Ahmedabad,Shilaj,Flat,3 BHK,30000,Un-furnished,1750 sq.ft,"Children Play Area, Gymnasium, Landscaped Garden, Swimming Pool",Shree Sai Realty,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,24000,Semi furnished,1510 sq.ft,"Pool, Gym, Lift, Parking",Infrataur,N/A,N/A
Ahmedabad,Tragad,Flat,2 BHK,32000,Fully furnished,1250 sq.ft,"Parking, Power Backup, Garden, Kids Area",Galaxy Space Realtors,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,18000,Un-furnished,818 sq.ft,Parking,Deepak Desai,N/A,N/A
Ahmedabad,Vastrapur,Flat,4 BHK,246000,Fully furnished,4400 sq.ft,"24x7 Security, Power Backup, Children Play Area, Service Lift",Satyanarayan Estate,N/A,N/A
Ahmedabad,Ambli,Flat,5 BHK,450000,Semi furnished,6700 sq.ft,"24x7 Security, Close to ATM, Close to Bus Stop, Close to Grocery Stores",RREALTOR STUDIO LLP,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,26000,Semi furnished,1700 sq.ft,"Power Backup, Service Lift, 24x7 Security, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,34250,Semi furnished,1095 sq.ft,"24 Hours Concierge, 24x7 Security, Power Backup, Lift",Akshar Property Advisor,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,35000,Fully furnished,1377 sq.ft,"Physically Disabled Friendly, Power Backup, Fire Fighting Systems, Basketball Court",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Semi furnished,1100 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Grocery Stores",Anoop,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,26000,Un-furnished,1454 sq.ft,"24x7 Security, Gymnasium, Kid's Pool, Gated Community",Agrawal Real Estate,N/A,N/A
Ahmedabad,Jagatpur,Flat,1 BHK,22000,Un-furnished,550 sq.ft,"Anti Skid Titles, Amphitheatre, Aerobics Room, 24x7 Security
R",Realest,N/A,N/A
Ahmedabad,Satellite,Flat,4 BHK,40000,Fully furnished,3000 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,21000,Semi furnished,1140 sq.ft,"Pool, Gym, Lift, Parking",N/A,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,26000,Semi furnished,1700 sq.ft,"Power Backup, Service Lift, 24x7 Security, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,South Bopal,Flat,2 BHK,23000,Semi furnished,854 sq.ft,"Power Backup, Service Lift, 24x7 Security, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,34250,Semi furnished,1095 sq.ft,"24 Hours Concierge, 24x7 Security, Power Backup, Lift",Akshar Property Advisor,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,23000,Semi furnished,1216 sq.ft,"Pool, Gym, Lift, Parking",Homezy Space,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,22500,Un-furnished,1080 sq.ft,Parking,Homezy Space,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,27000,Semi furnished,860 sq.ft,"Pool, Gym, Lift, Parking",Ravi Chauhan,N/A,N/A
Ahmedabad,Shantigram,Flat,2.5 BHK,28000,Un-furnished,1350 sq.ft,"Children Play Area, Gated Community, Swimming Pool, Good Cross Ventilation",City Address Realty,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Un-furnished,1080 sq.ft,Parking,Homezy Space,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,35000,Fully furnished,1080 sq.ft,"Pool, Gym, Lift, Parking",Homezy Space,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,35000,Fully furnished,1377 sq.ft,"Physically Disabled Friendly, Power Backup, Fire Fighting Systems, Basketball Court",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,53000,Fully furnished,1500 sq.ft,"Children Play Area, Swimming Pool, Gated Community, Good Cross Ventilation",City Address Realty,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Villa,4 BHK,60000,Fully furnished,7990 sq.ft,"Parking, Gas Pipeline",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,24000,Semi furnished,1470 sq.ft,"24x7 Security, Security Guards, Power Backup, Service Lift",Metro Real Estate,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,19500,Semi furnished,1085 sq.ft,"24 Hours Concierge, 24x7 Security, Power Backup, Lift",Akshar Property Advisor,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,42000,Un-furnished,2280 sq.ft,Parking,Homezy Space,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,25000,Semi furnished,1450 sq.ft,"Security Guards, Power Backup, Service Lift, 24x7 Security",Metro Real Estate,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,31000,Semi furnished,2025 sq.ft,"24x7 Security, Security Guards, Service Lift, Power Backup",Metro Real Estate,N/A,N/A
Ahmedabad,Shantigram,Flat,4 BHK,75000,Un-furnished,3650 sq.ft,"Fire Retardant Structure, Earthquake Resistant Structure, Landscaped Garden, Gated Community",J P Tripathi,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,34500,Fully furnished,1210 sq.ft,"Pool, Gym, Lift, Parking",QUALITY LIVING PROPERTY SOLUTIONS,N/A,N/A
Ahmedabad,Ghuma,Flat,3 BHK,26500,Semi furnished,1700 sq.ft,"24 Hours Concierge, 24x7 Security, Power Backup, Lift",Akshar Property Advisor,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,42000,Fully furnished,1370 sq.ft,"Cycling & Jogging Track, Physically Disabled Friendly, Gymnasium, Day Care Center",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,30000,Semi furnished,860 sq.ft,"Pool, Gym, Lift, Parking",Ravi Chauhan,N/A,N/A
Ahmedabad,Ellisbridge,Flat,3 BHK,41500,Semi furnished,1700 sq.ft,"High-Tech Alarm System, Day Care Center, Indoor Game Room, Earthquake Resistant Structure",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Gota,Flat,3 BHK,35000,Fully furnished,1800 sq.ft,"24x7 Security, Lift, Children Play Area, Gated Community",R G Property,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,24000,Un-furnished,1200 sq.ft,"Lift, Gated Community, Indoor Game Room, Power Backup",J P Tripathi,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,35000,Un-furnished,1850 sq.ft,"Rainwater Harvesting, Power Backup, Landscaped Garden, Fire Retardant Structure",J P Tripathi,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,25000,Semi furnished,1730 sq.ft,"24x7 Security, Power Backup, Service Lift, Kid's Pool",Metro Real Estate,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,3 BHK,23000,Un-furnished,1000 sq.ft,"Pool, Gym, Lift, Parking",J P Tripathi,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Un-furnished,1100 sq.ft,"Pool, Gym, Lift, Parking",J P Tripathi,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Semi furnished,1100 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Grocery Stores",Anoop,N/A,N/A
Ahmedabad,Jagatpur,Flat,3 BHK,21000,Un-furnished,1683 sq.ft,"Fire Retardant Structure, Landscaped Garden, Power Backup, Security Guards",J P Tripathi,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,26000,Un-furnished,1454 sq.ft,"24x7 Security, Gymnasium, Kid's Pool, Gated Community",Agrawal Real Estate,N/A,N/A
Ahmedabad,Sola,Flat,3 BHK,32000,Semi furnished,2250 sq.ft,"24x7 Security, Gymnasium, Children Play Area, Lift",R G Property,N/A,N/A
Ahmedabad,Navrangpura,Flat,3 BHK,35000,Semi furnished,2500 sq.ft,"24x7 Security, Day Care Center, Sports Area, Landscaped Garden",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Jagatpur,Flat,1 BHK,22000,Un-furnished,550 sq.ft,"Anti Skid Titles, Amphitheatre, Aerobics Room, 24x7 Security
R",Realest,N/A,N/A
Ahmedabad,Bopal,Flat,2 BHK,24000,Semi furnished,1170 sq.ft,"24x7 Security, Power Backup, Service Lift, Security Guards",Metro Real Estate,N/A,N/A
Ahmedabad,Satellite,Flat,4 BHK,40000,Fully furnished,3000 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,26000,Semi furnished,1800 sq.ft,"24x7 Security, Security Guards, Power Backup, Service Lift",Metro Real Estate,N/A,N/A
Ahmedabad,Jodhpur,Flat,3 BHK,45000,Fully furnished,1580 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,34000,Fully furnished,1080 sq.ft,"Children Play Area, Swimming Pool, Football Field, 24x7 Security",City Address Realty,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,22000,Semi furnished,845 sq.ft,"Power Backup, Service Lift, Security Guards, 24x7 Security",Metro Real Estate,N/A,N/A
Ahmedabad,Bodakdev,Flat,4 BHK,90000,Fully furnished,3150 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,20500,Semi furnished,1085 sq.ft,"24x7 Security, Security Guards, Service Lift, Power Backup",Metro Real Estate,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Semi furnished,1200 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Bus Stop",Anoop,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,25000,Semi furnished,1480 sq.ft,"Power Backup, Service Lift, Security Guards, 24x7 Security",Metro Real Estate,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,26500,Semi furnished,1750 sq.ft,"24x7 Security, Security Guards, Power Backup, Service Lift",Metro Real Estate,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,25000,Semi furnished,1482 sq.ft,"24x7 Security, Security Guards, Service Lift, Power Backup",Metro Real Estate,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,42000,Un-furnished,2280 sq.ft,"24x7 Security, Football Field, Swimming Pool, Good Cross Ventilation",City Address Realty,N/A,N/A
Ahmedabad,Bodakdev,Flat,3 BHK,50000,Fully furnished,1962 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,30000,Semi furnished,1435 sq.ft,"24x7 Security, Security Guards, Power Backup, Service Lift",Metro Real Estate,N/A,N/A
Ahmedabad,Makarba,Flat,3 BHK,42000,Fully furnished,1663 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Ahmedabad,Jodhpur,Flat,4 BHK,60000,Fully furnished,2475 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,35000,Fully furnished,1080 sq.ft,"24x7 Security, Children Play Area, Close to Bus Stop, Close to Grocery Stores",Anoop,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,3 BHK,20000,Semi furnished,1710 sq.ft,"Close to Grocery Stores, Close to Hospital, Gymnasium, 24x7 Security",QUALITY LIVING PROPERTY SOLUTIONS,N/A,N/A
Ahmedabad,Ghuma,Flat,3 BHK,23000,Un-furnished,1690 sq.ft,"Restaurants/Cafeterias, Lift, Ceramic Tiles, Close to Pubs & Restaurants",Nivaas Properties,N/A,N/A
Ahmedabad,Sola,Flat,3 BHK,33000,Semi furnished,2150 sq.ft,"24x7 Security, Children Play Area, Lift, Gated Community",R G Property,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Semi furnished,1200 sq.ft,"24x7 Security, Business Center, Close to Bus Stop, Close to Grocery Stores",Anoop,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,19000,Semi furnished,1500 sq.ft,"24x7 Security, Power Backup, Service Lift, Physically Disabled Friendly",Metro Real Estate,N/A,N/A
Ahmedabad,Jodhpur,Flat,4 BHK,60000,Fully furnished,3000 sq.ft,"Lift, Parking, Power Backup, Intercom",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Chharodi,Flat,3 BHK,25000,Semi furnished,1555 sq.ft,"24x7 Security, Power Backup, Close to Grocery Stores, Close to Hospital",QUALITY LIVING PROPERTY SOLUTIONS,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,21000,Semi furnished,1140 sq.ft,"Pool, Gym, Lift, Parking",Mahadev Estate,N/A,N/A
Ahmedabad,Gota,Flat,3 BHK,25000,Un-furnished,1500 sq.ft,"Pool, Gym, Lift, Parking",J P Tripathi,N/A,N/A
Ahmedabad,Navrangpura,Flat,3 BHK,30000,Fully furnished,1800 sq.ft,"Landscaped Garden, Business Center, Fire Retardant Structure, High-Tech Alarm System",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Jagatpur,Flat,3 BHK,42000,Fully furnished,1755 sq.ft,Parking,Preetam Yadav,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,15500,Un-furnished,800 sq.ft,"24x7 Security, Business Center, Football Field, Sewage Treatment Plant",Nivaas Properties,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,24000,Semi furnished,818 sq.ft,"Gym, Lift, Parking, Power Backup",Adhiraj Real Estate Agency,N/A,N/A
Ahmedabad,Paldi,Flat,3 BHK,35000,Semi furnished,2200 sq.ft,"Close to Hospital, Close to Jain Temple, Close to Mall, Close to Grocery Stores",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,14000,Un-furnished,900 sq.ft,"24x7 Security, Children Play Area, Indoor Game Room, Lift",Nivaas Properties,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,14500,Un-furnished,700 sq.ft,"24x7 Security, Gated Community, Children Play Area, Lift",Nivaas Properties,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,34000,Semi furnished,2025 sq.ft,"Power Backup, Service Lift, Security Guards, 24x7 Security",Metro Real Estate,N/A,N/A
Ahmedabad,Shela,Flat,2 BHK,30000,Fully furnished,850 sq.ft,"Pool, Gym, Lift, Parking",Neeraj Bhojwani,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,3 BHK,23000,Semi furnished,2250 sq.ft,"Parking, Gas Pipeline",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Paldi,Flat,1 BHK,13000,Semi furnished,1100 sq.ft,"Close to ATM, Close to Bus Stop, Close to Hospital, Close to Grocery Stores",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,22000,Semi furnished,1100 sq.ft,Parking,Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Paldi,Flat,3 BHK,25000,Semi furnished,1829 sq.ft,"Lift, Parking, Power Backup, Intercom",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Thaltej,Flat,3 BHK,40000,Fully furnished,2007 sq.ft,"Gymnasium, Indoor Game Room, Swimming Pool, Children Play Area",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,23000,Un-furnished,1510 sq.ft,"Gymnasium, Vitrified Balcony, Close to Jain Temple, East Facing Kitchen",Nivaas Properties,N/A,N/A
Ahmedabad,Bodakdev,Flat,3.5 BHK,45000,Fully furnished,1775 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, 24x7 Security",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,South Bopal,Flat,2 BHK,24000,Un-furnished,1250 sq.ft,"Gymnasium, Kid's Pool, Porcelain Tiles, Marble",Nivaas Properties,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,16000,Un-furnished,1200 sq.ft,"24x7 Security, Gated Community, Skating Rink, Yoga Room",Nivaas Properties,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,38000,Semi furnished,2013 sq.ft,"Children Play Area, Fire Retardant Structure, Library, Sewage Treatment Plant",Nivaas Properties,N/A,N/A
Ahmedabad,South Bopal,Flat,2 BHK,21000,Semi furnished,1215 sq.ft,"24x7 Security, Earthquake Resistant Structure, Gymnasium, Kid's Pool",Nivaas Properties,N/A,N/A
Ahmedabad,Sanand,Flat,2 BHK,16000,Un-furnished,800 sq.ft,"24x7 Security, Porcelain Tiles, Close to Jain Temple, East Facing Kitchen",Nivaas Properties,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,27000,Fully furnished,1000 sq.ft,"Close to Bus Stop, Close to Grocery Stores, Close to Hospital, Close to Jain Temple",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Jodhpur,Flat,2 BHK,27000,Semi furnished,1188 sq.ft,"Lift, Parking, Power Backup, Intercom",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Naranpura,Flat,2 BHK,27000,Fully furnished,1200 sq.ft,"Lift, Parking, Power Backup, Intercom",JAY DWARKADHISH REAL ESTATE,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,25000,Semi furnished,1240 sq.ft,"Parking, Gas Pipeline",Adhiraj Real Estate Agency,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,22000,Semi furnished,1350 sq.ft,"Gym, Lift, Parking, Power Backup",R G Property,N/A,N/A
Ahmedabad,Paldi,Flat,3 BHK,30000,Semi furnished,1829 sq.ft,"Close to Airport, Close to ATM, Close to Bus Stop, Close to Grocery Stores",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,35000,Fully furnished,2115 sq.ft,"Gymnasium, Indoor Game Room, Swimming Pool, Children Play Area",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,Ambawadi,Flat,3 BHK,35000,Fully furnished,1665 sq.ft,"Landscaped Garden, Fire Retardant Structure, Rainwater Harvesting, Community Hall",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,3 BHK,21511,Semi furnished,1764 sq.ft,"Gymnasium, Power Backup, Close to Bus Stop, Close to Hospital",QUALITY LIVING PROPERTY SOLUTIONS,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,23000,Semi furnished,1400 sq.ft,"Close to Airport, Close to ATM, Close to Bus Stop, Close to Grocery Stores",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Paldi,Flat,2 BHK,26000,Fully furnished,1100 sq.ft,"Close to Airport, Close to ATM, Close to Bus Stop, Close to Grocery Stores",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Ambli,Independent House,4 BHK,150000,Fully furnished,2433 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
