City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Ahmedabad,Bopal,Flat,2 BHK,20000,Semi furnished,1170 sq.ft,"Parking, Power Backup, Garden, Kids Area",Mahadev Estate,N/A,N/A
Ahmedabad,Paldi,Flat,3 BHK,27000,Fully furnished,1829 sq.ft,"Close to Hospital, Close to Jain Temple, Close to Mall, Close to Grocery Stores",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Bodakdev,Flat,4 BHK,110000,Semi furnished,3000 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Paldi,Flat,3 BHK,45000,Fully furnished,2000 sq.ft,"Tennis Court, Motion Sensor, Internet/Wi-Fi, Cricket Pitch",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Bodakdev,Flat,3 BHK,40000,Fully furnished,2160 sq.ft,"Lift, Parking, Garden, Kids Area",Darshanshah1982,N/A,N/A
Ahmedabad,Ellisbridge,Flat,3 BHK,35000,Fully furnished,2000 sq.ft,"Service Lift, High-Tech Alarm System, Fire Fighting Systems, Basketball Court",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Ramdev Nagar,Flat,3 BHK,50000,Fully furnished,2700 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,34990,Fully furnished,1214 sq.ft,"Gymnasium, Indoor Game Room, Children Play Area, Landscaped Garden",HOME ADDRESS REALTY,N/A,N/A
Ahmedabad,Paldi,Flat,3 BHK,45000,Fully furnished,1845 sq.ft,"Amphitheatre, Indoor Game Room, Earthquake Resistant Structure, Community Hall",Vikas Real Estate Paldi Ahmedabad,N/A,N/A
Ahmedabad,Satellite,Independent House,3 BHK,100000,Fully furnished,2475 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
Ahmedabad,Bopal,Flat,3 BHK,28000,Semi furnished,1750 sq.ft,"Pool, Gym, Lift, Parking",Mahadev Estate,N/A,N/A
Ahmedabad,Shela,Flat,4 BHK,60000,Semi furnished,3121 sq.ft,"Pool, Gym, Lift, Parking",Universal Estate,N/A,N/A
Ahmedabad,Shilaj,Independent House,5 BHK,190000,Fully furnished,3795 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,46990,Semi furnished,2280 sq.ft,24x7 Security,HOME ADDRESS REALTY,N/A,N/A
Ahmedabad,Shantigram,Penthouse,4.5 BHK,88990,Semi furnished,3800 sq.ft,"24x7 Security, Gymnasium, Children Play Area, Landscaped Garden",HOME ADDRESS REALTY,N/A,N/A
Ahmedabad,Shela,Flat,4 BHK,60000,Fully furnished,2700 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Ahmedabad,Jodhpur,Flat,2 BHK,29000,Fully furnished,990 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Shyamal,Flat,3 BHK,50000,Semi furnished,1850 sq.ft,"24x7 Security, Gated Community, Lift, Children Play Area",Darshanshah1982,N/A,N/A
Ahmedabad,Thaltej,Independent House,4 BHK,150000,Fully furnished,2970 sq.ft,"24x7 Security, Children Play Area, Community Hall, Gated Community",Darshanshah1982,N/A,N/A
Ahmedabad,Shantigram,Flat,2 BHK,23000,Semi furnished,1250 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Bus Stop",Anoop,N/A,N/A
Ahmedabad,Vastrapur,Flat,3 BHK,100000,Fully furnished,2020 sq.ft,"24x7 Security, Children Play Area, Gated Community, Lift",Darshanshah1982,N/A,N/A
Ahmedabad,Ramdev Nagar,Independent House,3 BHK,100000,Fully furnished,2322 sq.ft,"Parking, Intercom, Garden, Kids Area",Darshanshah1982,N/A,N/A
Ahmedabad,Ramdev Nagar,Independent House,4 BHK,135000,Fully furnished,3600 sq.ft,"24x7 Security, Children Play Area, Gated Community, Community Hall",Darshanshah1982,N/A,N/A
Ahmedabad,Ambli,Independent House,4 BHK,200000,Fully furnished,5000 sq.ft,"24x7 Security, Children Play Area, Gated Community, Community Hall",Darshanshah1982,N/A,N/A
Ahmedabad,Bodakdev,Flat,4 BHK,70000,Fully furnished,2790 sq.ft,"Lift, Parking, Intercom, Garden",Darshanshah1982,N/A,N/A
Ahmedabad,Shela,Flat,3 BHK,22000,Semi furnished,1410 sq.ft,"Pool, Gym, Lift, Parking",Mahadev Estate,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,24000,Semi furnished,1050 sq.ft,"24x7 Security, Business Center, Children Play Area, Close to Bus Stop",Anoop,N/A,N/A
Ahmedabad,Jagatpur,Flat,2 BHK,30000,Fully furnished,1280 sq.ft,"Pool, Gym, Lift, Parking",Preetam Yadav,N/A,N/A
Ahmedabad,Shantigram,Flat,3 BHK,27000,Semi furnished,1480 sq.ft,"Swimming Pool, Children Play Area, Community Hall, Landscaped Garden",Property Navigators LLP,N/A,N/A
Ahmedabad,Sola,Flat,3 BHK,30000,Semi furnished,2350 sq.ft,"Gym, Lift, Parking, Power Backup",R G Property,N/A,N/A
Ahmedabad,Chharodi,Flat,3 BHK,40000,Fully furnished,2055 sq.ft,"24x7 Security, Close to Hospital, School Proximity, Close to Mall",Preetam Yadav,N/A,N/A
Ahmedabad,Ambawadi,Flat,3 BHK,60000,Fully furnished,2295 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,Shilaj,Flat,2 BHK,30000,Fully furnished,1185 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,Shilaj,Flat,2 BHK,25000,Fully furnished,1062 sq.ft,"24x7 Security, Children Play Area, Indoor Game Room, Gymnasium",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,University Area,Flat,3.5 BHK,50000,Fully furnished,2025 sq.ft,"Children Play Area, Indoor Game Room, Gymnasium, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,Jagatpur,Flat,1 BHK,21000,Fully furnished,450 sq.ft,"Pool, Gym, Lift, Parking
R",Realest,N/A,N/A
Ahmedabad,South Bopal,Flat,3 BHK,32000,Fully furnished,1435 sq.ft,"Children Play Area, Gymnasium, Indoor Game Room, Swimming Pool",ASK ME NOW ADVISORS,N/A,N/A
Ahmedabad,Shantigram,Flat,2.5 BHK,27500,Semi furnished,1350 sq.ft,"24x7 Security, Gymnasium, Swimming Pool, Children Play Area",HOME ADDRESS REALTY,N/A,N/A
Ahmedabad,Vaishno Devi Circle,Flat,2 BHK,22000,Un-furnished,560 sq.ft,Parking,Galaxy Space Realtors,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,30000,Fully furnished,2350 sq.ft,"Lift, Parking, Garden, Gated Community",DESAI CHINTAN,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,21000,Fully furnished,1140 sq.ft,"Children Play Area, Close to Bus Stop, Close to Airport",Shree Ghanshaym Properties,N/A,N/A
Ahmedabad,Vastral,Villa,3 BHK,22000,Semi furnished,2700 sq.ft,"Gym, Parking, Power Backup, Intercom",Shree Ghanshaym Properties,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,22000,Fully furnished,1350 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,20000,Fully furnished,1368 sq.ft,"Children Play Area, Close to Airport, Close to Bus Stop, Close to Grocery Stores",Shree Ghanshaym Properties,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,17000,Semi furnished,1650 sq.ft,"24x7 Security, Close to Hospital, Close to Mall, Close to Bus Stop",Angel Group Broker Services,N/A,N/A
Ahmedabad,Vastral,Penthouse,2 BHK,25000,Fully furnished,1450 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,17000,Fully furnished,1450 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Villa,4 BHK,25000,Semi furnished,1900 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,20000,Fully furnished,1250 sq.ft,"24x7 Security, Lift, Metro Station Proximity, School Proximity",Angel Group Broker Services,N/A,N/A
Ahmedabad,Vastral,Villa,3 BHK,25000,Semi furnished,2250 sq.ft,"Parking, Gas Pipeline",Royal Properties,N/A,N/A
Ahmedabad,Vastral,Villa,4 BHK,30000,Semi furnished,2050 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,20000,Fully furnished,1350 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,12000,Un-furnished,1550 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,22000,Fully furnished,1503 sq.ft,"Children Play Area, Close to Airport, Ceramic Tiles, Business Center
A",Ashisbhai,N/A,N/A
Ahmedabad,Vastral,Flat,1 BHK,5000,Un-furnished,585 sq.ft,N/A,Nearby: United public School Ahmedabad- 0.3 km • Health1 Super Speciality Hospital- 1.5 km • Vastral Gam Metro Station- 1.3 km • Ma... •+ More,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,18000,Semi furnished,1200 sq.ft,24x7 Security,TC REAL ESTATE,N/A,N/A
Ahmedabad,New Maninagar,Flat,3 BHK,20000,Semi furnished,1764 sq.ft,"Gym, Lift, Parking, Power Backup",DISHA CONSULTANCY,N/A,N/A
Ahmedabad,Janta Nagar,Flat,2 BHK,16000,Semi furnished,1350 sq.ft,"24x7 Security, Basketball Court, Aerobics Room, Children Play Area",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,13000,Semi furnished,1250 sq.ft,"Gym, Lift, Parking, Power Backup",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,3 BHK,30000,Fully furnished,1950 sq.ft,"Lift, Parking, Power Backup, Garden",Jalaram Real Estate,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,17000,Fully furnished,1250 sq.ft,"Metro Station Proximity, School Proximity, Children Play Area, Close to Grocery Stores",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,11000,Un-furnished,1250 sq.ft,"24x7 Security, School Proximity, Close to Grocery Stores, Children Play Area",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,15000,Semi furnished,1350 sq.ft,"24x7 Security, Children Play Area, Close to ATM, Close to Bus Stop",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,18000,Fully furnished,1250 sq.ft,"24x7 Security, School Proximity, Metro Station Proximity, Children Play Area",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,3 BHK,28000,Fully furnished,1750 sq.ft,"Metro Station Proximity, School Proximity, Wall Climbing, 24x7 Security",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,3 BHK,18000,Semi furnished,1850 sq.ft,"Metro Station Proximity, School Proximity, 24x7 Security, Close to Grocery Stores",Angel Group Broker Services,N/A,N/A
Ahmedabad,Odhav,Flat,3 BHK,20000,Fully furnished,1450 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,New Maninagar,Independent House,4 BHK,31000,Fully furnished,2250 sq.ft,"Gated Community, Internet/Wi-Fi, Close to Grocery Stores, 24x7 Security",Safalta Properties,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,16000,Semi furnished,730 sq.ft,"Lift, Parking, Kids Area, Gated Community",Siddhivinayak Estate Broker,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,18000,Semi furnished,1215 sq.ft,"24x7 Security, Close to ATM, Close to Hospital, Close to Mall",Love Desai Kesar Realty,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,21000,Fully furnished,1215 sq.ft,"24x7 Security, 24 Hours Concierge, Earthquake Resistant Structure, Children Play Area",Shree Ghanshyam Property,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,21000,Fully furnished,1485 sq.ft,"Pool, Lift, Parking, Power Backup",Shree Ghanshaym Properties,N/A,N/A
Ahmedabad,Vastral,Villa,3.5 BHK,19000,Semi furnished,2700 sq.ft,"Parking, Pet Allowed, Garden, Kids Area
A",Ashisbhai,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,21000,Fully furnished,1350 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Villa,4 BHK,30000,Semi furnished,2750 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Duplex,3 BHK,22000,Semi furnished,2000 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Gated Community",Angel Group Broker Services,N/A,N/A
Ahmedabad,Vastral,Independent House,3 BHK,22000,Semi furnished,1250 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,23000,Fully furnished,1500 sq.ft,"24x7 Security, Children Play Area, Close to Grocery Stores, Close to Bus Stop",Angel Group Broker Services,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,17000,Semi furnished,1620 sq.ft,"24x7 Security, School Proximity, Metro Station Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,20000,Semi furnished,1080 sq.ft,"Pool, Lift, Parking, Power Backup",Shree Ghanshaym Properties,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,15000,Fully furnished,990 sq.ft,N/A,Nearby: United public School Ahmedabad- 0.1 km • Health1 Super Speciality Hospital- 0.6 km • Vastral Gam Metro Station- 0.4 km • Do... •+ More,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,15000,Semi furnished,1116 sq.ft,"Lift, Parking, Water Supply",Love Desai Kesar Realty,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,11000,Un-furnished,1259 sq.ft,N/A,Nearby: United public School Ahmedabad- 0.6 km • Health1 Super Speciality Hospital- 0.1 km • Vastral Gam Metro Station- 0.1 km • Do... •+ More,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,22000,Fully furnished,1350 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,30000,Fully furnished,2000 sq.ft,"24x7 Security, Badminton Court, Basketball Court, Children Play Area",Angel Group Broker Services,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,12000,Semi furnished,1404 sq.ft,"Parking, Gas Pipeline",D.K Real Estate,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,15500,Un-furnished,1138 sq.ft,"Lift, Parking, Water Supply, Gas Pipeline",Hasmukhbhai Parmar,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,25000,Semi furnished,940 sq.ft,Parking,Krishna Homes,N/A,N/A
Ahmedabad,New Maninagar,Flat,3 BHK,21000,Semi furnished,1680 sq.ft,"Gym, Lift, Parking, Power Backup",Safalta Properties,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,14000,Semi furnished,1250 sq.ft,"24x7 Security, Children Play Area, Close to Grocery Stores, Close to Hospital",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Villa,4 BHK,29000,Fully furnished,1800 sq.ft,"24x7 Security, Children Play Area, Close to Bus Stop, Close to Grocery Stores",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Independent House,2 BHK,18000,Fully furnished,1350 sq.ft,"Anti Skid Titles, Barbecue Area, Business Center, Ceramic Tiles",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,14000,Semi furnished,1350 sq.ft,"24x7 Security, Close to ATM, Close to Bus Stop, Close to Grocery Stores",Angel Group Broker Services,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,15000,Semi furnished,1300 sq.ft,Parking,DISHA CONSULTANCY,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,22000,Fully furnished,1450 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,22000,Fully furnished,1350 sq.ft,"24x7 Security, Metro Station Proximity, School Proximity, Children Play Area",Jalaram Real Estate,N/A,N/A
Ahmedabad,New Maninagar,Villa,4 BHK,29000,Fully furnished,1550 sq.ft,"24x7 Security, School Proximity, Children Play Area, Close to Grocery Stores",Jalaram Real Estate,N/A,N/A
Ahmedabad,New Maninagar,Independent House,2 BHK,16000,Un-furnished,1250 sq.ft,"24x7 Security, ATM, Business Center, Children Play Area",Angel Group Broker Services,N/A,N/A
Ahmedabad,Vastral,Independent House,1 BHK,4500,Un-furnished,150 sq.ft,N/A,Nearby: United public School Ahmedabad- 0.1 km • Health1 Super Speciality Hospital- 0.4 km • Vastral Gam Metro Station- 0.2 km • Do... •+ More,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,17000,Fully furnished,900 sq.ft,Parking,D.K Real Estate,N/A,N/A
Ahmedabad,Vastral,Independent House,2 BHK,13000,Un-furnished,900 sq.ft,Parking,Ankit Maurya,N/A,N/A
Ahmedabad,Vastral,Duplex,3 BHK,18000,Un-furnished,1604 sq.ft,Parking,Jatin Bhai,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,18000,Un-furnished,1000 sq.ft,"Lift, Parking, Sports Facility, Kids Area",Vikrant Kaushik,N/A,N/A
Ahmedabad,Vastral,Villa,4 BHK,25000,Un-furnished,2000 sq.ft,Parking,Vic Ragk,N/A,N/A
Ahmedabad,Vastral,Flat,1 BHK,7000,Semi furnished,200 sq.ft,"Gated Community, Water Supply",Shivyash Pandey,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,20000,Fully furnished,1080 sq.ft,"Lift, Parking, Garden, Gas Pipeline",Pankaj Pateliya,N/A,N/A
Ahmedabad,Vastral,Independent House,1 BHK,5000,Un-furnished,150 sq.ft,N/A,Nearby: United public School Ahmedabad- 0.6 km • Health1 Super Speciality Hospital- 0.1 km • Vastral Gam Metro Station- 0.1 km • Do... •+ More,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,15000,Fully furnished,1000 sq.ft,"Lift, Garden, Sports Facility, Kids Area",Shilpa Panchal,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,17000,Semi furnished,1269 sq.ft,N/A,Nearby: United public School Ahmedabad- 1.1 km • Health1 Super Speciality Hospital- 0.1 km • Vastral Gam Metro Station- 2.4 km • Ro... •+ More,N/A,N/A
Ahmedabad,Vastral,Independent House,3 BHK,17000,Un-furnished,1800 sq.ft,"Parking, Gated Community, Water Supply, Gas Pipeline",Premal Lathiya,N/A,N/A
Ahmedabad,Vastral,Flat,3 BHK,7000,Un-furnished,817 sq.ft,Lift,Yash Soni,N/A,N/A
Ahmedabad,Vastral,Flat,2 BHK,30000,Un-furnished,3000 sq.ft,N/A,Nearby: Devasya International School Vastral- 0.1 km • Health1 Super Speciality Hospital- 0.1 km • Vastral Gam Metro Station- 0.1 km ... •+ More,N/A,N/A
Ahmedabad,Mahadev Nagar,Flat,2 BHK,15000,Semi furnished,800 sq.ft,Parking,DK Real Estate,N/A,N/A
Ahmedabad,Ramol,Flat,1 BHK,16000,Semi furnished,450 sq.ft,Gas Pipeline,Srinath,N/A,N/A
Ahmedabad,Ramol,Independent House,2 BHK,11000,Un-furnished,600 sq.ft,N/A,Nearby: Seventh Day Adventist Higher Secondary School- 0.1 km • Health1 Super Speciality Hospital- 2.5 km • Vastral Gam Metro Station... •+ More,N/A,N/A
Ahmedabad,Mahadev Nagar,Independent House,2 BHK,20000,Fully furnished,1000 sq.ft,N/A,Bhagyalakshmi Oswal,N/A,N/A
Ahmedabad,Vastral,Flat,8 BHK,50000,Fully furnished,2800 sq.ft,N/A,Nearby: Devasya International School Vastral- 0.6 km • Health1 Super Speciality Hospital- 0.1 km • Vastral Gam Metro Station- 3.1 km ... •+ More,N/A,N/A
Ahmedabad,New Maninagar,Flat,3 BHK,90000,Fully furnished,2000 sq.ft,"Gym, Lift, Parking, Power Backup",LEELA KRISHNAN,N/A,N/A
Ahmedabad,Odhav,Flat,3 BHK,19500,Fully furnished,1440 sq.ft,N/A,"Nearby: United public School Ahmedabad- 2.9 km • Narayana Hospital, Ahmedabad- 0.1 km • Vastral Gam Metro Station- 3.5 km • Jassi D... •+ More",N/A,N/A
Ahmedabad,New Maninagar,Flat,2 BHK,18000,Semi furnished,1100 sq.ft,N/A,"Nearby: Seventh Day Adventist Higher Secondary School- 0.1 km • Narayana Hospital, Ahmedabad- 0.1 km • Vastral Metro Station- 7 km ... •+ More",N/A,N/A
